"","Year","Warhead","Number","Yield"
"314",2007,"AGM-86B (W80-1)",528,"5-150Kt (Variable Yield)"
"315",2007,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"316",2008,"B61-7/-11, B83-1",150,"5-150Kt (Variable Yield)"
"317",2008,"AGM-28B (W28)",NA,"70-1,450Kt"
"318",2008,"AGM-69A (W69)",NA,"170-200Kt"
"319",2008,"AGM-86B (W80-1)",350,"5-150Kt (Variable Yield)"
"320",2008,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"321",2009,"B61-7/-11, B83-1",100,"5-150Kt (Variable Yield)"
"322",2009,"AGM-28B (W28)",NA,"70-1,450Kt"
"323",2009,"AGM-69A (W69)",NA,"170-200Kt"
"324",2009,"AGM-86B (W80-1)",216,"5-150Kt (Variable Yield)"
"325",2009,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"326",2010,"B61-7/-11, B83-1",100,"5-150Kt (Variable Yield)"
"327",2010,"AGM-28B (W28)",NA,"70-1,450Kt"
"328",2010,"AGM-69A (W69)",NA,"170-200Kt"
"329",2010,"AGM-86B (W80-1)",216,"5-150Kt (Variable Yield)"
"330",2010,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"331",2011,"B61-7/-11, B83-1",100,"5-150Kt (Variable Yield)"
"332",2011,"AGM-28B (W28)",NA,"70-1,450Kt"
"333",2011,"AGM-69A (W69)",NA,"170-200Kt"
"334",2011,"AGM-86B (W80-1)",200,"5-150Kt (Variable Yield)"
"335",2011,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"336",2012,"B61-7/-11, B83-1",100,"5-150Kt (Variable Yield)"
"337",2012,"AGM-28B (W28)",NA,"70-1,450Kt"
"338",2012,"AGM-69A (W69)",NA,"170-200Kt"
"339",2012,"AGM-86B (W80-1)",200,"5-150Kt (Variable Yield)"
"340",2012,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"341",2013,"B61-7/-11, B83-1",100,"5-150Kt (Variable Yield)"
"342",2013,"AGM-28B (W28)",NA,"70-1,450Kt"
"343",2013,"AGM-69A (W69)",NA,"170-200Kt"
"344",2013,"AGM-86B (W80-1)",200,"5-150Kt (Variable Yield)"
"345",2013,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"346",2014,"B61-7/-11, B83-1",100,"5-150Kt (Variable Yield)"
"347",2014,"AGM-28B (W28)",NA,"70-1,450Kt"
"348",2014,"AGM-69A (W69)",NA,"170-200Kt"
"349",2014,"AGM-86B (W80-1)",200,"5-150Kt (Variable Yield)"
"350",2014,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"351",2015,"B61-7/-11, B83-1",100,"5-150Kt (Variable Yield)"
"352",2015,"AGM-28B (W28)",NA,"70-1,450Kt"
"353",2015,"AGM-69A (W69)",NA,"170-200Kt"
"354",2015,"AGM-86B (W80-1)",200,"5-150Kt (Variable Yield)"
"355",2015,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"356",2016,"B61-7/-11, B83-1",100,"5-150Kt (Variable Yield)"
"357",2016,"AGM-28B (W28)",NA,"70-1,450Kt"
"358",2016,"AGM-69A (W69)",NA,"170-200Kt"
"359",2016,"AGM-86B (W80-1)",200,"5-150Kt (Variable Yield)"
"360",2016,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"361",2017,"B61-7/-11, B83-1",100,"5-150Kt (Variable Yield)"
"362",2017,"AGM-28B (W28)",NA,"70-1,450Kt"
"363",2017,"AGM-69A (W69)",NA,"170-200Kt"
"364",2017,"AGM-86B (W80-1)",200,"5-150Kt (Variable Yield)"
"365",2017,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"366",2018,"B61-7/-11, B83-1",100,"5-150Kt (Variable Yield)"
"367",2018,"AGM-28B (W28)",NA,"70-1,450Kt"
"368",2018,"AGM-69A (W69)",NA,"170-200Kt"
"369",2018,"AGM-86B (W80-1)",200,"5-150Kt (Variable Yield)"
"370",2018,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"371",2019,"B61-7/-11, B83-1",100,"5-150Kt (Variable Yield)"
"372",2019,"AGM-28B (W28)",NA,"70-1,450Kt"
"373",2019,"AGM-69A (W69)",NA,"170-200Kt"
"374",2019,"AGM-86B (W80-1)",200,"5-150Kt (Variable Yield)"
"375",2019,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"376",2020,"B61-7/-11, B83-1",100,"5-150Kt (Variable Yield)"
"377",2020,"AGM-28B (W28)",NA,"70-1,450Kt"
"378",2020,"AGM-69A (W69)",NA,"170-200Kt"
"379",2020,"AGM-86B (W80-1)",200,"5-150Kt (Variable Yield)"
"380",2020,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"381",2021,"B61-7/-11, B83-1",100,"5-150Kt (Variable Yield)"
"382",2021,"AGM-28B (W28)",NA,"70-1,450Kt"
"383",2021,"AGM-69A (W69)",NA,"170-200Kt"
"384",2021,"AGM-86B (W80-1)",200,"5-150Kt (Variable Yield)"
"385",2021,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"386",2022,"B61-7/-11, B83-1",100,"5-150Kt (Variable Yield)"
"387",2022,"AGM-28B (W28)",NA,"70-1,450Kt"
"388",2022,"AGM-69A (W69)",NA,"170-200Kt"
"389",2022,"AGM-86B (W80-1)",200,"5-150Kt (Variable Yield)"
"390",2022,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"391",2023,"B61-7/-11, B83-1",100,"5-150Kt (Variable Yield)"
"392",2023,"AGM-28B (W28)",NA,"70-1,450Kt"
"393",2023,"AGM-69A (W69)",NA,"170-200Kt"
"394",2023,"AGM-86B (W80-1)",200,"5-150Kt (Variable Yield)"
"395",2023,"AGM-129 (W80-1)",NA,"10-1,200Kt"
